caregiver_id,shift_id,shift_start,shift_end,status,offered,applied,assigned,cancelled,declined,rejected,unapplied,cancelled_reason,invitation_notes,unavailability,read,last_invited,num_invites_sent
491828,133280075,00:00.0,00:00.0,assigned,11:11.0,NULL,11:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491871,133281825,00:00.0,00:00.0,assigned,14:10.0,NULL,14:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
505144,133676817,00:00.0,00:00.0,assigned,11:10.0,NULL,11:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
516379,133338296,00:00.0,00:00.0,assigned,56:12.0,NULL,56:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
529238,133674100,00:00.0,00:00.0,assigned,20:11.0,NULL,20:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
620829,133280190,00:00.0,00:00.0,assigned,11:11.0,NULL,11:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
624409,132210764,00:00.0,00:00.0,assigned,37:39.0,NULL,37:39.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
651328,133265574,00:00.0,00:00.0,assigned,56:11.0,NULL,56:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
656788,134380895,00:00.0,00:00.0,assigned,38:10.0,NULL,38:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
707485,132737445,00:00.0,00:00.0,assigned,56:15.0,NULL,56:15.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
759077,132737502,00:00.0,00:00.0,assigned,56:15.0,NULL,56:15.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
760269,133279923,00:00.0,00:00.0,assigned,08:12.0,NULL,08:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
788823,133282433,00:00.0,00:00.0,assigned,17:10.0,NULL,17:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
810845,133280699,00:00.0,00:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
811468,133280668,00:00.0,00:00.0,cancelled,11:12.0,NULL,11:12.0,59:41.8,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
813985,133280720,00:00.0,00:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
827810,133265350,00:00.0,00:00.0,assigned,56:11.0,NULL,56:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
828789,133280783,00:00.0,00:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
828798,133279944,00:00.0,00:00.0,assigned,08:12.0,NULL,08:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1025756,133502778,00:00.0,00:00.0,assigned,14:11.0,NULL,14:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1105675,132785400,00:00.0,00:00.0,assigned,26:11.0,NULL,26:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1106600,134376482,00:00.0,00:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1114058,133083544,00:00.0,00:00.0,assigned,59:10.0,NULL,59:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1128138,133267320,00:00.0,00:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1148133,133292184,00:00.0,00:00.0,assigned,44:11.0,NULL,44:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1175596,133267767,00:00.0,00:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
247249,132528371,00:00.0,15:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491831,133281973,00:00.0,15:00.0,assigned,14:10.0,NULL,14:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
651294,133265098,00:00.0,15:00.0,assigned,56:11.0,NULL,56:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
675729,133265885,00:00.0,15:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
675746,133265930,00:00.0,15:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
740224,133279114,00:00.0,15:00.0,assigned,05:11.0,NULL,05:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
740225,133279328,00:00.0,15:00.0,assigned,08:12.0,NULL,08:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
789982,131936081,00:00.0,15:00.0,assigned,36:47.0,NULL,36:47.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
824191,133280741,00:00.0,15:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1105347,133280804,00:00.0,15:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1106129,133281042,00:00.0,15:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1137236,133267380,00:00.0,15:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
516892,132793185,00:00.0,25:00.0,assigned,23:10.0,NULL,23:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
247220,132527975,00:00.0,30:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491783,133282125,00:00.0,30:00.0,assigned,14:10.0,NULL,14:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
529203,133086003,00:00.0,30:00.0,assigned,02:00.0,NULL,02:00.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
661794,133265804,00:00.0,30:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
782431,131931287,00:00.0,30:00.0,assigned,42:25.0,NULL,42:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
784347,132319884,00:00.0,30:00.0,assigned,22:25.0,NULL,22:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
808083,133280522,00:00.0,30:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
810465,132794403,00:00.0,30:00.0,assigned,26:11.0,NULL,26:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
840953,133280937,00:00.0,30:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1093764,133342287,00:00.0,30:00.0,assigned,59:12.0,NULL,59:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1145225,133267349,00:00.0,30:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
247199,132527772,00:00.0,45:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491792,133282097,00:00.0,45:00.0,assigned,14:10.0,NULL,14:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491832,133926034,00:00.0,45:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491906,133282180,00:00.0,45:00.0,assigned,14:10.0,NULL,14:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
516498,133334595,00:00.0,45:00.0,assigned,47:12.0,NULL,47:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
651341,133265066,00:00.0,45:00.0,assigned,56:11.0,NULL,56:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
758844,133266418,00:00.0,45:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
782459,131822638,00:00.0,45:00.0,assigned,22:25.0,NULL,22:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
841531,133266816,00:00.0,45:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1025772,133266947,00:00.0,45:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1093435,132545279,00:00.0,45:00.0,assigned,10:40.0,NULL,10:40.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1176241,133266282,00:00.0,45:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
30657,133387185,00:00.0,00:00.0,assigned,00:30.0,NULL,00:30.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
96960,132850172,00:00.0,00:00.0,assigned,07:40.0,NULL,07:40.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
235390,132866196,00:00.0,00:00.0,assigned,49:00.0,NULL,49:00.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
242401,132209195,00:00.0,00:00.0,assigned,34:20.0,NULL,34:20.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
242497,132208879,00:00.0,00:00.0,assigned,34:20.0,NULL,34:20.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
247244,132528254,00:00.0,00:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
247255,132528653,00:00.0,00:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
252647,133639247,00:00.0,00:00.0,assigned,06:50.0,NULL,06:50.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
286663,133312188,00:00.0,00:00.0,assigned,32:05.0,NULL,32:05.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
289870,131822513,00:00.0,00:00.0,assigned,22:25.0,NULL,22:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
289897,131819209,00:00.0,00:00.0,assigned,17:25.0,NULL,17:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
291565,132528817,00:00.0,00:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
363399,132140586,00:00.0,00:00.0,assigned,44:31.0,NULL,44:31.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
524477,132284188,00:00.0,00:00.0,assigned,33:26.5,NULL,33:26.5,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
527735,133911174,00:00.0,00:00.0,assigned,14:10.0,NULL,14:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
527782,133505954,00:00.0,00:00.0,assigned,17:11.0,NULL,17:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
545016,132783245,00:00.0,00:00.0,assigned,20:11.0,NULL,20:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
556167,132528974,00:00.0,00:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
603445,133299503,00:00.0,00:00.0,assigned,12:18.5,NULL,12:18.5,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
606723,131462252,00:00.0,00:00.0,assigned,29:13.0,NULL,29:13.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
624906,132616259,00:00.0,00:00.0,assigned,00:18.3,NULL,00:18.3,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
639037,132483261,00:00.0,00:00.0,assigned,07:43.3,NULL,07:43.3,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
646744,131182948,00:00.0,00:00.0,assigned,53:13.0,NULL,53:13.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
657810,124238438,00:00.0,00:00.0,assigned,26:10.0,NULL,26:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
703475,132794044,00:00.0,00:00.0,assigned,26:11.0,NULL,26:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
724648,132358427,00:00.0,00:00.0,assigned,14:58.0,NULL,14:58.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
725815,132358401,00:00.0,00:00.0,assigned,14:52.1,NULL,14:52.1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
737447,133307030,00:00.0,00:00.0,assigned,08:11.0,NULL,08:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
738883,133266306,00:00.0,00:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
744166,132821127,00:00.0,00:00.0,assigned,12:10.2,NULL,12:10.2,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
744225,133006939,00:00.0,00:00.0,assigned,07:13.2,NULL,07:13.2,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
744283,132821127,00:00.0,00:00.0,cancelled,58:03.9,NULL,58:03.9,40:07.3,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
751701,132786340,00:00.0,00:00.0,assigned,32:15.0,NULL,32:15.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
757936,132527743,00:00.0,00:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
758829,133282567,00:00.0,00:00.0,assigned,17:10.0,NULL,17:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
759972,133051111,00:00.0,00:00.0,assigned,22:21.0,NULL,22:21.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
762142,132566135,00:00.0,00:00.0,assigned,42:20.0,NULL,42:20.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
771481,133291267,00:00.0,00:00.0,assigned,17:12.0,NULL,17:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
791101,132784801,00:00.0,00:00.0,assigned,26:11.0,NULL,26:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
800777,132320327,00:00.0,00:00.0,assigned,27:40.5,NULL,27:40.5,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
802330,132785618,00:00.0,00:00.0,assigned,29:10.0,NULL,29:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
810194,132866444,00:00.0,00:00.0,assigned,49:00.0,NULL,49:00.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
811971,132544416,00:00.0,00:00.0,assigned,10:40.0,NULL,10:40.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
823589,132514099,00:00.0,00:00.0,assigned,48:47.7,NULL,48:47.7,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
823953,130154990,00:00.0,00:00.0,assigned,07:37.8,NULL,07:37.8,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
833130,132669934,00:00.0,00:00.0,assigned,06:29.2,NULL,06:29.2,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1114289,129623980,00:00.0,00:00.0,assigned,11:31.0,NULL,11:31.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1119400,132544431,00:00.0,00:00.0,assigned,10:40.0,NULL,10:40.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1144293,132225240,00:00.0,00:00.0,assigned,57:00.6,NULL,57:00.6,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1155092,132903063,00:00.0,00:00.0,cancelled,01:30.2,NULL,01:30.2,50:06.4,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1202637,132903063,00:00.0,00:00.0,assigned,50:06.4,NULL,50:06.4,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
247247,132528488,00:00.0,15:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
286645,133312927,00:00.0,15:00.0,assigned,37:05.0,NULL,37:05.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
630833,132792966,00:00.0,15:00.0,assigned,23:10.0,NULL,23:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
785500,133282795,00:00.0,15:00.0,assigned,17:10.0,NULL,17:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
813575,133281363,00:00.0,15:00.0,assigned,14:10.0,NULL,14:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
828102,133266676,00:00.0,15:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1135249,132785604,00:00.0,15:00.0,assigned,29:10.0,NULL,29:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
55434,131930401,00:00.0,30:00.0,assigned,31:47.0,NULL,31:47.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
242242,132204300,00:00.0,30:00.0,assigned,29:20.0,NULL,29:20.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
289729,133334753,00:00.0,30:00.0,assigned,47:40.0,NULL,47:40.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
460119,132786163,00:00.0,30:00.0,assigned,32:15.0,NULL,32:15.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
708509,133305959,00:00.0,30:00.0,assigned,05:11.0,NULL,05:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
792890,133341796,00:00.0,30:00.0,assigned,59:12.0,NULL,59:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
803604,132794359,00:00.0,30:00.0,assigned,26:11.0,NULL,26:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
810133,133034916,00:00.0,30:00.0,assigned,54:04.2,NULL,54:04.2,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
811966,133060527,00:00.0,30:00.0,assigned,54:05.0,NULL,54:05.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
337091,132643833,00:00.0,43:00.0,assigned,59:00.0,NULL,59:00.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
289885,132697076,00:00.0,45:00.0,assigned,17:25.0,NULL,17:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
651320,133265462,00:00.0,45:00.0,assigned,56:11.0,NULL,56:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
801735,133339612,00:00.0,45:00.0,assigned,56:12.0,NULL,56:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1068450,133267004,00:00.0,45:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1173536,131950792,00:00.0,45:00.0,assigned,39:33.6,NULL,39:33.6,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1177907,133267915,00:00.0,45:00.0,assigned,02:11.0,NULL,02:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
75598,133639248,00:00.0,00:00.0,assigned,06:50.0,NULL,06:50.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
83456,132563690,00:00.0,00:00.0,assigned,37:20.0,NULL,37:20.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
83651,132563670,00:00.0,00:00.0,assigned,37:20.0,NULL,37:20.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
479145,132964597,00:00.0,00:00.0,assigned,57:25.0,NULL,57:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
507450,132535681,00:00.0,00:00.0,assigned,05:40.0,NULL,05:40.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
516380,133341327,00:00.0,00:00.0,assigned,59:12.0,NULL,59:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
516802,133337651,00:00.0,00:00.0,assigned,53:12.0,NULL,53:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
525592,133674168,00:00.0,00:00.0,assigned,20:11.0,NULL,20:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
606775,128677921,00:00.0,00:00.0,assigned,17:13.0,NULL,17:13.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
606812,133574463,00:00.0,00:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
626653,133258936,00:00.0,00:00.0,cancelled,16:50.3,NULL,NULL,53:10.0,NULL,NULL,NULL,NULL,NULL,0,NULL,16:50.3,1
626687,133258936,00:00.0,00:00.0,cancelled,08:10.0,NULL,08:10.0,47:15.2,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
626831,133258936,00:00.0,00:00.0,cancelled,19:35.2,NULL,NULL,53:10.0,NULL,NULL,NULL,NULL,NULL,0,NULL,19:35.2,1
708492,133306871,00:00.0,00:00.0,assigned,08:11.0,NULL,08:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
720968,132358370,00:00.0,00:00.0,assigned,14:45.7,NULL,14:45.7,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
727842,132358391,00:00.0,00:00.0,assigned,14:50.3,NULL,14:50.3,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
746316,132652428,00:00.0,00:00.0,assigned,15:46.2,NULL,15:46.2,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
746936,133021277,00:00.0,00:00.0,assigned,16:10.9,NULL,16:10.9,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
751030,133258936,00:00.0,00:00.0,assigned,53:10.0,NULL,53:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
762428,132514192,00:00.0,00:00.0,assigned,48:55.4,NULL,48:55.4,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
